label,label_encoded,cleaned_message,message_length,word_count,capital_count,special_char_count,has_free,has_win,has_winner,has_prize,has_call,has_txt,has_claim,has_urgent,has_guaranteed
ham,0,go until jurong point crazy available only in bugis n great world la e buffet cine there got amore wat,111,20,3,0,0,0,0,0,0,0,0,0,0
ham,0,ok lar joking wif u oni,29,6,2,0,0,0,0,0,0,0,0,0,0
spam,1,free entry in a wkly comp to win fa cup final tkts st may text fa to to receive entry questionstd txt ratetcs apply overs,155,28,10,0,1,1,0,0,0,1,0,0,0
ham,0,u dun say so early hor u c already then say,49,11,2,0,0,0,0,0,0,0,0,0,0
ham,0,nah i dont think he goes to usf he lives around here though,61,13,2,0,0,0,0,0,0,0,0,0,0
spam,1,freemsg hey there darling its been weeks now and no word back id like some fun you up for it still tb ok xxx std chgs to send to rcv,148,32,8,3,0,0,0,0,0,0,0,0,0
ham,0,even my brother is not like to speak with me they treat me like aids patent,77,16,2,0,0,0,0,0,0,0,0,0,0
ham,0,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press to copy your friends callertune,160,26,10,0,0,0,0,0,0,0,0,0,0
spam,1,winner as a valued network customer you have been selected to receivea prize reward to claim call claim code kl valid hours only,158,26,13,3,0,0,1,1,1,0,1,0,0
spam,1,had your mobile months or more u r entitled to update to the latest colour mobiles with camera for free call the mobile update co free on,154,29,14,2,1,0,0,0,1,0,0,0,0
ham,0,im gonna be home soon and i dont want to talk about this stuff anymore tonight k ive cried enough today,109,21,2,1,0,0,0,0,0,0,0,0,0
spam,1,six chances to win cash from to pounds txt csh and send to cost pday days tsandcs apply reply hl info,136,26,17,1,0,1,0,0,0,1,0,0,0
spam,1,urgent you have won a week free membership in our prize jackpot txt the word claim to no tc lccltd pobox ldnwarw,156,26,41,2,1,0,0,1,0,1,1,1,0
ham,0,ive been searching for the right words to thank you for this breather i promise i wont take your help for granted and will fulfil my promise you have been wonderful and a blessing at all times,196,37,3,0,0,0,0,0,0,0,0,0,0
ham,0,i have a date on sunday with will,35,8,26,2,0,0,0,0,0,0,0,0,0
spam,1,xxxmobilemovieclub to use your credit click the wap link in the next txt message or click here xxxmobilemovieclubcomnqjkgighjjgcbl,149,19,23,1,0,0,0,0,0,1,0,0,0
ham,0,oh kim watching here,26,4,1,0,0,0,0,0,0,0,0,0,0
ham,0,eh u remember how spell his name yes i did he v naughty make until i v wet,81,19,3,0,0,0,0,0,0,0,0,0,0
ham,0,fine if thats the way u feel thats the way its gota b,58,13,4,0,0,0,0,0,0,0,0,0,0
